Education,Marital,Sex,Age,Race,Veteran,Pro_Cert,Groom_Dis,Hear_Dis,Vis_Dis,Err_Dis,Climb_Dis,Concen_Dis,Citizenship,HrsWeek,Industry,WorkClass,Salary
43,5,1,10,1,2,1,2,2,2,2,2,2,1,54,9,7,3
42,7,2,4,1,2,2,2,2,2,2,2,2,1,40,10,4,4
41,1,1,9,1,2,2,2,2,2,2,2,2,1,42,9,4,2
43,1,1,10,1,2,2,2,2,2,2,2,2,1,40,5,4,1
43,1,2,10,1,2,2,2,2,2,2,2,2,1,40,4,4,2
42,5,1,10,1,2,2,2,2,2,2,2,2,1,40,13,1,3
43,7,2,10,1,2,2,2,2,2,2,2,2,1,40,12,1,3
39,7,1,7,1,2,2,2,2,2,2,2,2,4,36,8,4,4
43,1,1,8,1,2,2,2,2,2,2,2,2,1,43,9,4,1
41,1,1,14,1,2,2,2,2,2,2,2,2,4,50,3,4,1
41,1,2,12,1,2,1,2,2,2,2,2,2,1,26,10,4,1
42,4,2,12,3,2,1,2,2,2,2,2,2,1,30,10,5,3
39,7,1,8,1,2,2,2,2,2,2,2,2,1,40,7,4,1
39,1,2,12,1,2,2,2,2,2,2,2,2,1,40,10,4,3
44,1,2,9,1,2,1,2,2,2,2,2,2,1,40,10,5,2
44,1,1,14,1,2,2,2,2,2,2,2,2,1,40,9,4,1
43,1,2,13,1,2,2,2,2,2,2,2,2,1,40,4,4,1
40,5,2,15,1,2,1,2,2,2,2,2,2,1,40,3,4,1
41,7,2,11,1,2,2,2,2,2,2,2,2,1,3,8,4,1
44,1,2,10,1,2,1,2,1,2,2,2,2,1,27,10,4,5
43,1,1,10,1,1,1,2,2,2,2,1,2,1,58,10,5,4
42,7,1,5,1,2,2,2,2,2,2,2,2,1,17,5,4,5
44,1,1,15,1,1,1,2,2,2,2,2,2,1,40,4,1,1
